n_graphs	duration_sec	mean_fragmentation	std_fragmentation	mean_modularity	std_modularity	mean_clustering	mean_coupling	frag_early	frag_late	frag_trend	mod_early	mod_late	n_fragmentation_shifts	graph_autocorr	subject	condition
19	90.0	0.9615725092816648	0.0251546556571229	0.6126060137687674	0.2845173894905727	0.0730950049533535	0.0926701547300556	0.9437090226878624	0.9752861624925024	increasing	0.3725546979147314	0.7579276534577554	0	0.1922722621223637	0001-AGDJ	Stress
23	110.0	0.94507297828389	0.038348092214697	0.6405579730977231	0.2556240232871625	0.112791890862445	0.1503629035335023	0.9362633563324128	0.9449256916662928	increasing	0.5153442935086734	0.6634969098923713	0	-0.216600044984058	0002-AHEG	Stress
17	80.0	0.9460641157227682	0.048621654249836	0.6568390597158281	0.2483394514723585	0.1054119979117726	0.1341071616323169	0.9172198916157964	0.9555536454114248	increasing	0.4893179415654826	0.6589700152414323	0	0.0848230048368063	0003-AZFR	Stress
23	110.0	0.9559488122558047	0.0394204861194766	0.6748692736393518	0.2164331349745873	0.0990281316593661	0.141374828222868	0.9559787599280596	0.9653906906498102	increasing	0.6695531660374653	0.6022754004258581	0	-0.1330194854365646	0004-BDCD	Stress
14	65.0	0.9590958665728948	0.0316766214916607	0.6245566291281134	0.271520336785201	0.0875153996257886	0.1215200232062045	0.9500646906769024	0.9692795992979876	increasing	0.5215992118107334	0.630492544956129	0	-0.2420337885086915	0006-BRJG	Stress
18	85.0	0.9659059132100404	0.0288386463747488	0.5319830926574769	0.2633392038518602	0.069702582495252	0.0941535316096706	0.9635166853710194	0.954438776982293	stable	0.5808717062118954	0.4022389910472148	0	0.0618885840836231	0007-FKDN	Stress
20	95.0	0.9442143007493384	0.0607644431422177	0.6670029045042284	0.2246638588893873	0.1220392202770164	0.1741581592796421	0.9183310936868168	0.9640561981692972	increasing	0.5127027404166288	0.8080042595779106	0	0.2170391463153328	0008-GCAF	Stress
22	105.0	0.9304221064782852	0.0532351687590134	0.5215154383420632	0.310879883546269	0.1195656138493169	0.1505093176482534	0.9467228411144124	0.931387983149486	stable	0.5664867644314548	0.6106434634385888	0	0.351795880253735	0009-ILAB	Stress
22	105.0	0.91660274054902	0.0504464810923133	0.4152669080414481	0.1816001469993236	0.138911182301941	0.1580654872738897	0.9217812127505234	0.92623963260842	increasing	0.4355580165493636	0.4368191106616395	0	-0.1464261067665043	0010-ISJP	Stress
24	115.0	0.9384997828309994	0.052263481326123	0.5159167582468147	0.3206671037597736	0.1041645120359448	0.1288754912075858	0.9655975252949984	0.9525784708708268	stable	0.7530249092942144	0.5182704608942046	0	0.1955765361062531	0011-KISN	Stress
23	110.0	0.957504315134672	0.0392328474054229	0.6230347005526328	0.2825540719275972	0.0796973734514708	0.1023439588848384	0.9662081186523492	0.9673551612139082	stable	0.7329715108122402	0.6569442110049926	0	-0.0513554598444894	0012-KSLI	Stress
17	80.0	0.9320175673134612	0.0516494969962339	0.4159312366380497	0.2239262029024157	0.1068124842075078	0.12342793445221	0.9591027041045432	0.9072346302987072	stable	0.3532790830615759	0.4191485165586561	0	0.2669647067009701	0013-KYXT	Stress
23	110.0	0.9528106800126864	0.0304945504445041	0.5981516019550257	0.2309522828736235	0.0984742269074214	0.1256246437758072	0.947474910546518	0.9622460894978666	increasing	0.5296564038165513	0.611860412781679	0	-0.2286683711622537	0014-LEDG	Stress
20	95.0	0.9471262864316032	0.0409572694405501	0.5500256101345673	0.2666206632974374	0.0914212828080066	0.1115130329245082	0.9240256382466274	0.940379758805304	increasing	0.5178073527895865	0.5464267904310528	0	0.1979112535201813	0015-LINI	Stress
22	105.0	0.9505766051968392	0.0403215331392658	0.6233789071609693	0.2829497074718577	0.102831408382295	0.1425916315200002	0.9417063132242988	0.959998797012705	increasing	0.6674748334711984	0.6207337010499181	0	0.1666491172494854	0016-LTRQ	Stress
21	100.0	0.9737279462346696	0.0246820379299446	0.6793924756924016	0.2604586621801181	0.068428545161379	0.1042649404936241	0.9787983099248352	0.9758738232026746	stable	0.6953388044012804	0.6793762606855853	0	0.0013446189136079	0017-MDMS	Stress
19	90.0	0.9404043822887448	0.0347213057214723	0.5167136146545573	0.1696457685097889	0.1334342383900355	0.1733341552937356	0.9132261964163156	0.95167709553231	increasing	0.4389638512878807	0.521153780292761	0	0.0805614345872077	0018-NMIL	Stress
21	100.0	0.9497413596291536	0.0302884766808763	0.6561006258702611	0.2886739494354345	0.1008203232072117	0.1298529511854231	0.9454058398028516	0.952540966813652	stable	0.6315193654228803	0.7459825343181484	0	-0.0488355991902172	0020-RLCE	Stress
18	85.0	0.957254240315072	0.0427587143571439	0.6561397566926184	0.2834861481740424	0.0887580527281273	0.1190744151606364	0.9814137903488646	0.9359178767213489	stable	0.7813445916466546	0.5101752288429551	0	-0.1384033718525763	0021-RNDM	Stress
24	115.0	0.9534166804894636	0.0280756513020619	0.5554184879739082	0.248169419560677	0.0968648858472018	0.1266523916993268	0.9503432388796932	0.9451491881200116	stable	0.5246235060499144	0.4837091080963132	0	-0.1536546563281139	0022-RSBC	Stress
21	100.0	0.9629803206019908	0.0328099642443669	0.633619507822444	0.2672671655058533	0.0797460270118363	0.1120426522138957	0.9479221797132176	0.9553922150904166	increasing	0.6316233765710798	0.5606965781141663	0	0.1979685010007035	0023-SFKF	Stress
24	115.0	0.9455586909505632	0.0392789501530328	0.5094112436247215	0.2086324129213651	0.103180475716049	0.1243983123270627	0.9602306855252524	0.9499386749973082	stable	0.605679281584709	0.455574084523175	0	0.0811885467152438	0024-SZLE	Stress
24	115.0	0.9466788340665953	0.0499277655662472	0.6032094919834871	0.2254060390632295	0.1152752225356908	0.1538950070233058	0.9643126560236296	0.9175725168666284	stable	0.6204620487683403	0.5708001697423339	0	0.3544668548153238	0025-TBMO	Stress
24	115.0	0.9595981459867492	0.0243110387665863	0.5853305608042986	0.2923142826124631	0.0879262716370486	0.1186004899703369	0.9677533768213814	0.9613452539047532	stable	0.6851788035177142	0.558831393412323	0	0.3629233232398567	0026-XAPL	Stress
22	105.0	0.94683278886203	0.0411983540000988	0.5705603771717329	0.2188072801587281	0.1065693851142254	0.1360827852364377	0.9242647158689145	0.9479941695017752	increasing	0.4572686695625382	0.5932980401508774	0	-0.0499986199223397	0027-YMAD	Stress
16	75.0	0.9244370398631664	0.0505305416791821	0.5188584233206072	0.3011758152303445	0.1285802855932953	0.1562754148914684	0.9163148104516828	0.9168044112248194	stable	0.4710159659597669	0.4805670859400608	0	-0.0817975941466888	0028-ZFML	Stress
20	95.0	0.9464208723973224	0.0481953241163954	0.5384180456134003	0.3423684514730759	0.0881772090667735	0.109411055392782	0.9388308045868468	0.967311061772332	increasing	0.3630108253222002	0.6922476267330172	0	-0.0024436883666295	0029-ZZOV	Stress
